model_name,likes,downloads,category,task,library,dataset,dataset_config_name
mrm8488/t5-base-finetuned-quartz,1,5,INCModelForQuestionAnswering,question-answering,transformers,quartz,
thatdramebaazguy/movie-roberta-squad,1,7,INCModelForQuestionAnswering,question-answering,transformers,imdb,
KoichiYasuoka/deberta-large-japanese-aozora-ud-head,1,12,INCModelForQuestionAnswering,question-answering,transformers,universal_dependencies,af_afribooms
gustavhartz/roberta-base-cuad-finetuned,1,149,INCModelForQuestionAnswering,question-answering,transformers,cuad,
KoichiYasuoka/deberta-base-thai-ud-head,1,33,INCModelForQuestionAnswering,question-answering,transformers,universal_dependencies,af_afribooms
muhtasham/bert-tiny-finetuned-cuad,1,1,INCModelForQuestionAnswering,question-answering,transformers,cuad,
muhtasham/bert-small-finetuned-cuad-full,1,1,INCModelForQuestionAnswering,question-answering,transformers,cuad,
Jasu/bert-finetuned-cuad-legalbert1,1,2,INCModelForQuestionAnswering,question-answering,transformers,cuad,
cgt/Roberta-wwm-ext-large-qa,1,4,INCModelForQuestionAnswering,question-answering,transformers,cmrc2018,
haritzpuerto/MetaQA,1,2,INCModelForQuestionAnswering,question-answering,transformers,newsqa,split
VMware/bert-large-mrqa,1,2,INCModelForQuestionAnswering,question-answering,transformers,mrqa,
VMware/deberta-v3-large-mrqa,1,2,INCModelForQuestionAnswering,question-answering,transformers,mrqa,
VMware/tinyroberta-quantized-mrqa,1,98,INCModelForQuestionAnswering,question-answering,transformers,mrqa,
Gholamreza/xlm-roberta-base-finetuned-pquad-squad,1,11,INCModelForQuestionAnswering,question-answering,transformers,Gholamreza/pquad,
frankkuete/electra-large-cuad-qa,1,9,INCModelForQuestionAnswering,question-answering,transformers,cuad,
Harshit0722/dolly-fine-tuned-on-med-data,1,19,INCModelForQuestionAnswering,question-answering,peft,medmcqa,
mgigena/roberta-base-cuad,1,6,INCModelForQuestionAnswering,question-answering,transformers,cuad,
mgigena/deberta-v2-xlarge-cuad,1,20,INCModelForQuestionAnswering,question-answering,transformers,cuad,
DunnBC22/bert-base-uncased-QnA-MLQA_Dataset,1,2,INCModelForQuestionAnswering,question-answering,transformers,mlqa,mlqa-translate-test.ar
AliBagherz/qa-persian,1,7,INCModelForQuestionAnswering,question-answering,transformers,Gholamreza/pquad,
AdapterHub/bert-base-uncased-pf-comqa,0,19,INCModelForQuestionAnswering,question-answering,adapter-transformers,com_qa,
AdapterHub/bert-base-uncased-pf-duorc_p,0,2,INCModelForQuestionAnswering,question-answering,adapter-transformers,duorc,ParaphraseRC
AdapterHub/bert-base-uncased-pf-duorc_s,0,8,INCModelForQuestionAnswering,question-answering,adapter-transformers,duorc,ParaphraseRC
AdapterHub/bert-base-uncased-pf-hotpotqa,0,14,INCModelForQuestionAnswering,question-answering,adapter-transformers,hotpot_qa,fullwiki
AdapterHub/roberta-base-pf-comqa,0,7,INCModelForQuestionAnswering,question-answering,adapter-transformers,com_qa,
AdapterHub/roberta-base-pf-duorc_p,0,4,INCModelForQuestionAnswering,question-answering,adapter-transformers,duorc,ParaphraseRC
AdapterHub/roberta-base-pf-duorc_s,0,4,INCModelForQuestionAnswering,question-answering,adapter-transformers,duorc,ParaphraseRC
