model_name,likes,downloads,category,task,library,dataset,dataset_config_name
cl-nagoya/unsup-simcse-ja-large,1,459,multi-modal,feature-extraction,sentence-transformers,wiki40b,
CodeNLP/pdn2_v08_nkjp_large,1,1,multi-modal,feature-extraction,transformers,nkjp-ner,
ddrg/math_structure_bert,1,81,multi-modal,feature-extraction,transformers,ddrg/math_formulas,
T-Systems-onsite/cross-de-fr-roberta-sentence-transformer,0,9,multi-modal,feature-extraction,transformers,stsb_multi_mt,en
T-Systems-onsite/cross-en-fr-roberta-sentence-transformer,0,37,multi-modal,feature-extraction,transformers,stsb_multi_mt,en
andrejmiscic/simcls-scorer-billsum,0,8,multi-modal,feature-extraction,transformers,billsum,
asapp/sew-d-base-100k,0,3,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-base-plus-100k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-base-plus-400k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-mid-100k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-mid-k127-100k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-mid-k127-400k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-d-small-100k,0,2,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-mid-100k,0,6,multi-modal,feature-extraction,transformers,librispeech_asr,clean
asapp/sew-small-100k,0,12,multi-modal,feature-extraction,transformers,librispeech_asr,clean
funnel-transformer/intermediate-base,0,43,multi-modal,feature-extraction,transformers,gigaword,
funnel-transformer/intermediate,0,48,multi-modal,feature-extraction,transformers,gigaword,
funnel-transformer/medium-base,0,40,multi-modal,feature-extraction,transformers,gigaword,
nvidia/segformer-b0-finetuned-ade-512-512,93,187884,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
facebook/maskformer-swin-large-ade,44,113692,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b5-finetuned-ade-640-640,32,61891,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nateraw/vit-base-beans,10,2023,computer-vision,image-classification,transformers,beans,
shi-labs/oneformer_ade20k_swin_tiny,9,6430,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,7,1647,computer-vision,image-classification,transformers,cifar10,
facebook/maskformer-swin-base-ade,7,3515,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
microsoft/beit-base-finetuned-ade-640-640,7,1749,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
shi-labs/oneformer_ade20k_swin_large,7,20488,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nateraw/vit-base-patch16-224-cifar10,6,27640,computer-vision,image-classification,transformers,cifar10,
nvidia/segformer-b3-finetuned-ade-512-512,6,8853,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
abhishek/autotrain_fashion_mnist_vit_base,4,2967,computer-vision,image-classification,transformers,fashion_mnist,
Intel/dpt-large-ade,4,1285,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
shi-labs/oneformer_ade20k_dinat_large,4,2131,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
keras-io/supervised-contrastive-learning-cifar10,3,19,computer-vision,image-classification,keras,cifar10,
abhishek/autotrain_cifar10_vit_base,3,27,computer-vision,image-classification,transformers,cifar10,
nyuuzyou/AnimeHeads,3,0,computer-vision,object-detection,,nyuuzyou/AnimeHeadsv3,With augmentation
Ahmed9275/Vit-Cifar100,2,1588,computer-vision,image-classification,transformers,cifar100,
nateraw/vit-base-beans-demo-v2,1,76,computer-vision,image-classification,transformers,beans,
mrm8488/convnext-tiny-finetuned-beans,1,163,computer-vision,image-classification,transformers,beans,
jadohu/BEiT-finetuned,1,89,computer-vision,image-classification,transformers,cifar10,
edumunozsala/vit_base-224-in21k-ft-cifar100,1,25,computer-vision,image-classification,transformers,cifar100,
jimypbr/cifar10_outputs,1,14,computer-vision,image-classification,transformers,cifar10,
woojinSong/my_bean_VIT,1,9,computer-vision,image-classification,transformers,beans,
ahsanjavid/convnext-tiny-finetuned-cifar10,1,114,computer-vision,image-classification,transformers,cifar10,
juliensimon/swin-food102,1,5,computer-vision,image-classification,transformers,juliensimon/food102,
leejw51/vit-base-beans,1,5,computer-vision,image-classification,transformers,beans,
thean/swinv2-tiny-patch4-window8-256-finetuned-THFOOD-50,1,6,computer-vision,image-classification,transformers,thean/THFOOD-50,
platzi/platzi-vit-model-paola-daft,1,5,computer-vision,image-classification,transformers,beans,
platzi/platzi-vit-model-luis-reyes,1,5,computer-vision,image-classification,transformers,beans,
adhamelarabawy/human_presence_classifier,1,0,computer-vision,image-classification,,adhamelarabawy/fashion_human_classification,
Dewa/Dog_Model_From_Scratch_v2,1,12,computer-vision,image-classification,transformers,Dewa/Dog_Emotion_Dataset_v2,
platzi/platzi_vit_model-joselier,1,4,computer-vision,image-classification,transformers,beans,
DeepCyber/Enhanced-CIFAR10-CNN,1,0,computer-vision,image-classification,keras,cifar10,
gilbertoesp/vit-model-beans-health,1,4,computer-vision,image-classification,transformers,beans,
monet-joe/human-detector,1,37,computer-vision,object-detection,transformers,imdb,
facebook/maskformer-swin-tiny-ade,1,628,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
microsoft/beit-large-finetuned-ade-640-640,1,225,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b2-finetuned-ade-512-512,1,17350,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
nvidia/segformer-b4-finetuned-ade-512-512,1,2310,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
kiheh85202/yolo,1,108,computer-vision,image-segmentation,transformers,scene_parse_150,scene_parsing
visheratin/nllb-clip-large-oc,1,109,computer-vision,zero-shot-image-classification,open_clip,visheratin/laion-coco-nllb,
nateraw/resnet50-beans-dummy-sagemaker,0,18,computer-vision,image-classification,timm,beans,
nateraw/timm-resnet18-beans-test-2,0,14,computer-vision,image-classification,timm,beans,
nateraw/timm-resnet18-beans-test,0,11,computer-vision,image-classification,timm,beans,
nateraw/vit-base-beans-demo-v3,0,71,computer-vision,image-classification,transformers,beans,
nateraw/vit-base-beans-demo,0,76,computer-vision,image-classification,transformers,beans,
nickmuchi/vit-base-beans,0,74,computer-vision,image-classification,transformers,beans,
tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,0,369,computer-vision,image-classification,transformers,cifar10,
johnnydevriese/vit_beans,0,73,computer-vision,image-classification,transformers,beans,
sentence-transformers/all-MiniLM-L6-v2,1165,5369379,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
google/flan-t5-xxl,1001,223957,natural-language-processing,text2text-generation,transformers,lambada,
facebook/bart-large-cnn,698,6345141,natural-language-processing,summarization,transformers,cnn_dailymail,3.0.0
google/flan-ul2,516,22821,natural-language-processing,text2text-generation,transformers,lambada,
sentence-transformers/all-mpnet-base-v2,499,8782647,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
mosaicml/mpt-7b-instruct,445,18980,natural-language-processing,text-generation,transformers,mosaicml/dolly_hhrlhf,
google/flan-t5-base,442,1256446,natural-language-processing,text2text-generation,transformers,lambada,
google/flan-t5-xl,371,199508,natural-language-processing,text2text-generation,transformers,lambada,
stabilityai/stablelm-tuned-alpha-7b,354,5033,natural-language-processing,text-generation,transformers,Dahoas/full-hh-rlhf,
google/flan-t5-large,318,281898,natural-language-processing,text2text-generation,transformers,lambada,
facebook/blenderbot-400M-distill,306,235025,natural-language-processing,conversational,transformers,blended_skill_talk,
dslim/bert-base-NER,299,975659,natural-language-processing,token-classification,transformers,conll2003,
cardiffnlp/twitter-roberta-base-sentiment-latest,270,1982313,natural-language-processing,text-classification,transformers,tweet_eval,emoji
cardiffnlp/twitter-roberta-base-sentiment,225,3366628,natural-language-processing,text-classification,transformers,tweet_eval,emoji
philschmid/bart-large-cnn-samsum,213,288858,natural-language-processing,summarization,transformers,samsum,
SamLowe/roberta-base-go_emotions,192,6602939,natural-language-processing,text-classification,transformers,go_emotions,simplified
sshleifer/distilbart-cnn-12-6,191,715828,natural-language-processing,summarization,transformers,cnn_dailymail,3.0.0
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,174,69411,natural-language-processing,zero-shot-classification,transformers,xnli,ar
joeddav/xlm-roberta-large-xnli,168,20861,natural-language-processing,zero-shot-classification,transformers,xnli,ar
google/tapas-base-finetuned-wtq,165,14237,natural-language-processing,table-question-answering,transformers,wikitablequestions,random-split-1
google/flan-t5-small,150,179011,natural-language-processing,text2text-generation,transformers,lambada,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,145,130516,natural-language-processing,zero-shot-classification,transformers,xnli,ar
facebook/blenderbot-3B,121,7435,natural-language-processing,conversational,transformers,blended_skill_talk,
sentence-transformers/multi-qa-mpnet-base-dot-v1,120,157767,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
stabilityai/stablelm-tuned-alpha-3b,109,6404,natural-language-processing,text-generation,transformers,Dahoas/full-hh-rlhf,
upstage/llama-30b-instruct-2048,104,6312,natural-language-processing,text-generation,transformers,sciq,
dslim/bert-large-NER,102,714229,natural-language-processing,token-classification,transformers,conll2003,
NousResearch/Yarn-Llama-2-13b-128k,99,617,natural-language-processing,text-generation,transformers,pg19,
vectara/hallucination_evaluation_model,96,8696,natural-language-processing,text-classification,transformers,snli,
epfl-llm/meditron-70b,93,876,natural-language-processing,text-generation,transformers,medmcqa,
vennify/t5-base-grammar-correction,87,5662,natural-language-processing,text2text-generation,transformers,jfleg,
sileod/deberta-v3-base-tasksource-nli,83,67502,natural-language-processing,zero-shot-classification,transformers,sick,
Salesforce/codet5-base,83,16349,natural-language-processing,text2text-generation,transformers,code_search_net,all
Jean-Baptiste/camembert-ner,82,151858,natural-language-processing,token-classification,transformers,Jean-Baptiste/wikiner_fr,
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,82,834987,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
arpanghoshal/EmoRoBERTa,79,9139,natural-language-processing,text-classification,transformers,go_emotions,simplified
philschmid/flan-t5-base-samsum,75,15621,natural-language-processing,text2text-generation,transformers,samsum,
sentence-transformers/all-MiniLM-L12-v2,72,505814,natural-language-processing,sentence-similarity,sentence-transformers,ms_marco,v1.1
pszemraj/flan-t5-large-grammar-synthesis,70,184049,natural-language-processing,text2text-generation,transformers,jfleg,
google/tapas-large-finetuned-wtq,69,74126,natural-language-processing,table-question-answering,transformers,wikitablequestions,random-split-1
joeddav/distilbert-base-uncased-go-emotions-student,61,14060,natural-language-processing,text-classification,transformers,go_emotions,simplified
juierror/text-to-sql-with-table-schema,60,753,natural-language-processing,text2text-generation,transformers,wikisql,
Jean-Baptiste/roberta-large-ner-english,58,195018,natural-language-processing,token-classification,transformers,conll2003,
huggingface/CodeBERTa-small-v1,54,55671,natural-language-processing,fill-mask,transformers,code_search_net,all
grammarly/coedit-large,53,7588,natural-language-processing,text2text-generation,transformers,asset,simplification
felflare/bert-restore-punctuation,52,89979,natural-language-processing,token-classification,transformers,yelp_polarity,
slauw87/bart_summarisation,52,8313,natural-language-processing,summarization,transformers,samsum,
mrm8488/t5-base-finetuned-wikiSQL,47,1342,natural-language-processing,text2text-generation,transformers,wikisql,
stabilityai/stablelm-base-alpha-7b-v2,44,4164,natural-language-processing,text-generation,transformers,JeanKaddour/minipile,
mrm8488/t5-base-finetuned-common_gen,43,23181,natural-language-processing,text2text-generation,transformers,common_gen,
pyannote/speaker-diarization,556,3866433,audio,automatic-speech-recognition,pyannote-audio,ami,microphone-single
jonatasgrosman/wav2vec2-large-xlsr-53-english,319,72672011,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/wav2vec2-base-960h,178,1053983,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
pyannote/voice-activity-detection,110,306615,audio,automatic-speech-recognition,pyannote-audio,ami,microphone-single
facebook/wav2vec2-large-960h-lv60-self,97,30065,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
facebook/tts_transformer-zh-cv7_css10,76,548,audio,text-to-speech,fairseq,common_voice,ab
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,55,597166,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/hubert-large-ls960-ft,47,82876,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
jonatasgrosman/wav2vec2-large-xlsr-53-russian,34,827661,audio,automatic-speech-recognition,transformers,common_voice,ab
wbbbbb/wav2vec2-large-chinese-zh-cn,34,762,audio,automatic-speech-recognition,transformers,common_voice,ab
ydshieh/wav2vec2-large-xlsr-53-chinese-zh-cn-gpt,29,453,audio,automatic-speech-recognition,transformers,common_voice,ab
nguyenvulebinh/wav2vec2-base-vietnamese-250h,28,6621,audio,automatic-speech-recognition,transformers,vivos,
pyannote/speaker-segmentation,23,1274,audio,automatic-speech-recognition,pyannote-audio,ami,microphone-single
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,22,434,audio,automatic-speech-recognition,transformers,common_voice,ab
voidful/wav2vec2-xlsr-multilingual-56,22,6922,audio,automatic-speech-recognition,transformers,common_voice,ab
jonatasgrosman/wav2vec2-large-xlsr-53-spanish,21,4505,audio,automatic-speech-recognition,transformers,common_voice,ab
microsoft/speecht5_asr,21,2158,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
Intel/whisper-large-v2-onnx-int4,21,24,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
Voicemod/fastspeech2-en-male1,20,152,audio,text-to-speech,fairseq,common_voice,ab
facebook/s2t-small-librispeech-asr,20,10965,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,18,5079954,audio,automatic-speech-recognition,transformers,common_voice,ab
speechbrain/m-ctc-t-large,18,233,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/unit_hifigan_mhubert_vp_en_es_fr_it3_400k_layer11_km1000_lj_dur,17,639,audio,text-to-speech,fairseq,covost2,en_de
facebook/wav2vec2-xlsr-53-espeak-cv-ft,16,40614,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/wav2vec2-large-960h,15,11127,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
facebook/wav2vec2-large-robust-ft-swbd-300h,15,17914,audio,automatic-speech-recognition,transformers,common_voice,ab
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,15,131897,audio,automatic-speech-recognition,transformers,common_voice,ab
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,15,51031,audio,automatic-speech-recognition,transformers,common_voice,ab
superb/hubert-base-superb-er,15,831,audio,audio-classification,transformers,superb,asr
pyannote/overlapped-speech-detection,14,9849,audio,automatic-speech-recognition,pyannote-audio,ami,microphone-single
fxtentacle/wav2vec2-xls-r-1b-tevr,14,2,audio,automatic-speech-recognition,transformers,common_voice,ab
superb/hubert-large-superb-er,14,695,audio,audio-classification,transformers,superb,asr
philschmid/pyannote-speaker-diarization-endpoint,14,5099,audio,voice-activity-detection,pyannote-audio,ami,microphone-single
facebook/wav2vec2-large-xlsr-53-spanish,13,5087,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/tts_transformer-ru-cv7_css10,12,274,audio,text-to-speech,fairseq,common_voice,ab
lgris/wav2vec2-large-xlsr-open-brazilian-portuguese-v2,12,27,audio,automatic-speech-recognition,transformers,common_voice,ab
m3hrdadfi/wav2vec2-large-xlsr-persian,12,128,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/wav2vec2-xls-r-2b-22-to-16,11,4,audio,automatic-speech-recognition,transformers,common_voice,ab
OthmaneJ/distil-wav2vec2,10,7,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
elgeish/wav2vec2-large-xlsr-53-arabic,10,227,audio,automatic-speech-recognition,transformers,arabic_speech_corpus,
facebook/hubert-xlarge-ls960-ft,10,209,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
facebook/wav2vec2-large-xlsr-53-french,10,1106,audio,automatic-speech-recognition,transformers,common_voice,ab
bond005/wav2vec2-large-ru-golos,10,732,audio,automatic-speech-recognition,transformers,bond005/rulibrispeech,
nvidia/stt_fr_conformer_transducer_large,10,259,audio,automatic-speech-recognition,nemo,multilingual_librispeech,polish
superb/wav2vec2-base-superb-er,10,6415,audio,audio-classification,transformers,superb,asr
KBLab/wav2vec2-large-voxrex-swedish,9,945,audio,automatic-speech-recognition,transformers,common_voice,ab
facebook/data2vec-audio-base-960h,9,4274,audio,automatic-speech-recognition,transformers,librispeech_asr,clean
facebook/wav2vec2-lv-60-espeak-cv-ft,9,13033,audio,automatic-speech-recognition,transformers,common_voice,ab
jonatasgrosman/wav2vec2-large-xlsr-53-italian,9,762,audio,automatic-speech-recognition,transformers,common_voice,ab
superb/wav2vec2-base-superb-ks,9,4405,audio,audio-classification,transformers,superb,asr
